Origin,Destination,Current Mode,Suggested Mode,Current Cost,Optimal Cost,Savings (%),Number of Shipments
COM,ETH,Air,Sea,8583.632198843985,1310.3944142579635,84.73380051821835,19
COM,MDG,Air,Sea,3490.626088891813,533.642712578956,84.71212043371926,19
DZA,CHE,Air,Road,2356.4489636977346,361.02608600296935,84.67923169290931,38
MDG,FRA,Air,Sea,6288.082321476416,964.7222950491546,84.65792517133201,114
ZWE,MDG,Air,Sea,6844.171009402369,1053.4195467251045,84.60851511047956,19
BEN,CPV,Air,Sea,6006.305993501133,925.9816410703974,84.58317571445218,19
ETH,GUY,Air,Sea,18015.272801015242,2777.8581815921957,84.58053778993761,19
MAR,USA,Air,Sea,8109.58371137478,1250.5916634188288,84.57884266408514,950
MRT,MLT,Air,Sea,7901.426961359445,1218.7412399556104,84.57568176083063,19
ETH,COM,Air,Sea,8583.632198843985,1324.0235930799022,84.5750194974778,19
MUS,ARM,Air,Sea,25087.206929860382,3877.0608278127656,84.54566569067502,19
MRT,URY,Air,Sea,14580.794967742839,2254.675225836717,84.53667834418668,19
GNQ,COL,Air,Sea,37083.48854795418,5736.572058480441,84.53065694975746,76
MLI,CHL,Air,Sea,23257.535764331686,3599.965071588021,84.5212962023732,19
MOZ,CRI,Air,Sea,45113.6605989438,6995.003006256338,84.49471199324468,19
MUS,DEU,Air,Sea,29609.899783502835,4612.197066436026,84.42346276022957,114
GIN,MLT,Air,Sea,10581.011158031955,1650.5720844849095,84.40062050939268,19
MAR,PAN,Air,Sea,13609.608290223294,2125.735989566353,84.38062327559118,38
DZA,GRL,Air,Sea,20407.60981741031,3189.7226373886115,84.3699352058987,38
UGA,MLT,Air,Road,9418.925952462458,1473.3262646152418,84.35781030606722,19
MDG,AUS,Air,Sea,9861.833129372635,1543.1928123757841,84.35186651273266,114
SYC,ECU,Air,Sea,52621.233817457,8235.263697532608,84.34992283514156,38
BEN,BOL,Air,Sea,15148.618476227952,2375.4569239941857,84.31898639653588,19
GHA,SWE,Air,Road,2630.733542334544,412.9603698990355,84.30246304866856,19
MUS,BIH,Air,Sea,29028.899918499123,4564.907622142304,84.27461035396232,19
COM,BEL,Air,Sea,27560.59702298669,4335.726559609634,84.268386653622,19
CIV,MLT,Air,Sea,7153.187179112252,1125.4320330638454,84.26670510803665,19
MDG,NOR,Air,Sea,10532.80776736872,1659.6603889632179,84.24294427830586,19
SEN,MLT,Air,Road,9286.467508554571,1463.9003954052848,84.23619752013606,19
TUN,CPV,Air,Sea,8205.844165678169,1294.8329334702419,84.2206004973136,38
TZA,MMR,Air,Sea,9782.00098689858,1543.901525969175,84.21691504594015,38
TUN,BRN,Air,Sea,12053.00261934899,1905.2240021113812,84.19295123148089,38
MDG,MWI,Air,Sea,7887.777673677926,1249.3518755237299,84.1609141736727,19
NER,CPV,Air,Sea,6360.201494340196,1010.0214125705235,84.11966329259664,19
MUS,CAF,Air,Sea,23163.248517659296,3678.751592663943,84.11815341937327,19
KEN,BOL,Air,Sea,14307.200440519091,2274.2720572796165,84.10400366770074,38
MRT,SLV,Air,Sea,14604.139166191313,2322.4750965030958,84.09714485685235,19
MUS,KHM,Air,Sea,23178.139893081436,3686.1924590101935,84.0962541601084,19
ZAF,SWE,Air,Road,2944.9274391288154,468.43807796363063,84.09339151316384,76
COD,DEU,Air,Rail,7426.315112142668,1181.6553704804417,84.08826783355404,114
