origin_ISO,destination_ISO,flow(tonne),Unit logistics costs ($/ton),distance(km),cost_per_ton_km
SSD,JPN,78203.02967006936,8060.959789572131,15456.27919458066,0.5215330085651206
ETH,IND,5062590.0523483325,4350.864722581727,8345.820589685722,0.5213225800658587
MWI,MEX,18633.282131251715,10546.237022033447,20236.174309927766,0.5211576486994143
RWA,AUT,14973.599161160017,5450.442207639398,10459.485414201748,0.5211004166838705
NER,CIV,13221.706344643007,884.8529112966943,1701.7027128410718,0.5199809018458877
SWZ,COD,12360.848376010203,2431.701829482855,4692.066581835331,0.5182581677116098
TCD,MOZ,18542.410109487475,3991.919913768537,7706.806420938551,0.5179732947389111
TCD,PAK,45278.24596452137,5692.550675491995,11054.342212277807,0.5149605979421741
ZMB,ZAF,193061.18067153596,1604.9837007960627,3124.0775409717407,0.5137464354667824
SWZ,PHL,11181.380148809048,6738.984673613834,13146.406329999621,0.5126104050378936
UGA,PAK,101351.40981364442,4580.314373818898,8947.78075392027,0.5118938985862094
RWA,MEX,16879.16640501571,10529.074237296833,20575.007156539417,0.5117409756987785
RWA,CHN,917864.294102474,7996.319728661047,15628.380503276168,0.511653765211615
MWI,RUS,11061.608032040785,7115.361199652868,13966.303214614476,0.5094663269380608
SSD,BRA,55351.08801904184,7846.545399732666,15407.103143768045,0.5092810326843618
ETH,TZA,181293.0891771771,1554.6444706016791,3058.4472633475684,0.5083116813006843
ETH,NER,101913.09919571236,3715.7210219730177,7338.977599974109,0.5062995453189728
BFA,TCD,10749.21244092484,1460.655510521396,2885.609132185429,0.5061861962625416
MWI,DEU,105791.65621964137,7008.981962198026,13863.744457970304,0.5055619701767182
BFA,IDN,99107.8614803141,8761.196871041704,17337.295794032667,0.505338143567766
MLI,UKR,10641.775501935863,5022.554518061743,9957.60890729649,0.50439363152548
ETH,SWZ,13893.942089472606,3157.3005969042365,6278.958831804675,0.5028382382301393
SWZ,ITA,33137.307669265116,6487.110392310614,12952.761318453026,0.5008283741837206
UGA,ETH,110824.44546974791,1528.610285173115,3053.6992635590855,0.5005765641085168
NER,KEN,23279.190096475693,3697.687538388613,7394.9228405458825,0.5000305774814082
NER,CHN,1176097.151111835,8573.048969433192,17166.67777189163,0.4994005877753777
UGA,COL,23117.134863461124,9047.790938135735,18142.115937392595,0.4987175128501628
BFA,PHL,32855.28575854002,9160.177270116317,18440.588676895084,0.4967399593698141
UGA,VEN,18501.003551243037,8538.815305153243,17197.733658070967,0.49650817223500504
TCD,NER,20559.244236281862,1147.6163781881464,2312.8208954030006,0.4961976867595614
MLI,AUS,48015.34043673448,10028.169217282966,20214.215210876166,0.4960949071071211
RWA,DEU,102030.19306351375,5831.723383264667,11777.03814247781,0.4951774217517913
ETH,VEN,38067.02256286437,7679.523131723747,15546.007622104993,0.49398683690365436
BFA,NER,20261.624506900633,500.43087416806424,1016.0433242463139,0.49252907058788714
UGA,ISR,23658.937063691832,3031.55675222686,6158.506755154145,0.49225516391448393
BWA,USA,942803.2195677395,9668.92848114815,19644.45305881869,0.49219636974355074
ZMB,FRA,150898.81006267597,6449.967620191165,13152.651290203976,0.4903929616833274
ZMB,AUS,61216.25800668388,7155.701731632495,14694.717616406324,0.4869574168368716
BWA,PHL,42961.75371619465,6570.916857245919,13509.027883655523,0.486409304491556
BFA,GHA,24823.497306196274,646.5805094003168,1330.1190950726032,0.4861072303943008
UGA,NZL,19762.33312521934,8714.93944679691,17969.84589665139,0.4849757475338676
NER,CAN,29887.121860589265,6673.691355156914,13779.282970918503,0.4843279123624861
ETH,KAZ,30037.6458083544,4738.591188252174,9811.4092364167,0.482967438628907
BWA,MEX,29521.20829271508,9383.69741787925,19429.830095498517,0.4829531381261669
BWA,BDI,10698.531801076302,2028.9725770526113,4202.463982750917,0.4828054649321357
ETH,MEX,129699.70342297658,8635.239248005157,17908.203637062383,0.48219460885143584
ETH,DZA,59696.55948048857,3266.9401163516086,6785.25080971282,0.4814766923096066
RWA,SDN,29637.152690972103,2684.51999080347,5576.983632813065,0.4813569785302349
ETH,ITA,504956.94399076235,3487.5566168445866,7245.793175578677,0.4813215796165831
RWA,CMR,13431.413861717554,2646.9015658286135,5506.366308985696,0.48069841657813495
RWA,RUS,11278.727365008499,5877.162260137493,12230.354544958853,0.4805389932510142
MLI,JPN,102294.79660237303,9888.47298190415,20624.268470952662,0.4794581197307013
NER,USA,714997.1796534039,6635.154716937248,13852.122933158858,0.47899912157537844
BWA,KEN,53888.871177015564,1963.5940522712588,4100.513280590033,0.47886542925394754
TCD,BFA,19535.125212092564,1381.2587041979643,2885.6091321854287,0.4786714488777148
RWA,NGA,107893.3903428579,3069.101253872021,6414.369700416783,0.47847277241793557
TCD,ITA,106254.79839223802,4209.948765466205,8802.294412280657,0.4782785678689218
ZMB,MEX,30960.6772320537,9555.222639046586,19986.730876592766,0.4780783159609697
ZWE,AUS,15949.16509498082,6829.880627980629,14307.539467679324,0.4773623475517438
ZMB,BFA,23971.139528122236,4076.6153429241854,8545.121383652455,0.4770693311300525
MLI,FIN,11751.098183061058,5204.812049251905,10914.30858610532,0.47687968579869505
MLI,NER,13095.22002525673,1051.0738913922005,2210.368385404955,0.4755197813778161
ETH,PER,30076.23705762466,8624.159920028773,18148.11591595994,0.47520965592050546
RWA,POL,33532.46960560529,5613.175863822931,11825.193211943737,0.47467942072637637
UGA,PER,14591.923217032345,8213.175136227816,17349.133855839198,0.47340548551151485
BWA,ZMB,17400.912387855795,1099.0514306605385,2321.606958588276,0.47340116146483735
MLI,IRL,11441.340337811118,3934.807188574581,8312.169862804018,0.4733790638930973
MWI,ZAF,126076.69077831299,1645.1927667229654,3475.998552106529,0.47330076294938145
MLI,PHL,24167.01942596159,9197.117266990452,19436.005294287508,0.4731999774507986
RWA,CZE,12557.435778221905,5623.869740247083,11908.022187596542,0.472275718977492
ETH,UKR,65318.72364500474,3233.7817937369523,6858.571843162502,0.4714949216374832
ETH,FIN,66674.87230239369,4448.643185072683,9436.132310865403,0.4714477328757052
UGA,DZA,25223.615969643284,4152.907365189594,8812.97546378214,0.4712264753551634
NER,EGY,10279.475512632654,3306.7194012556915,7019.3699597303485,0.471084929306493
SSD,CAN,25320.09857472727,8542.788780862093,18148.822365932603,0.4707076089354357
MLI,CAN,36892.48266519683,5895.595253941415,12530.994182466482,0.47048104628367016
BWA,UGA,50503.27509493244,2191.208666307951,4657.62867447722,0.47045585199079787
RWA,EGY,10062.302600556446,3282.9021944853566,7007.6207714692455,0.46847600655722277
ETH,HKG,771073.118093767,5933.317016569388,12713.140014889688,0.46670743888765953
ETH,RWA,55312.653433418345,2003.5121026042739,4309.705686775482,0.46488374107590164
UGA,ZWE,24778.49981413337,1814.6447357091545,3905.5771478237193,0.4646290847744021
RWA,PRT,11788.724685361423,5543.535292093795,11935.0468987657,0.46447536730392713
MWI,UGA,18736.477230285203,1866.5189912348003,4028.5411807050136,0.4633237957637436
NER,PHL,19581.73179631699,8360.490862977504,18117.064983016953,0.4614704904362091
UGA,FRA,271808.0933068537,5011.1180526814605,10866.879895603211,0.4611367845069293
ZWE,ITA,22748.19853129378,5573.396970546545,12116.599914116036,0.45998027582419776
ETH,AGO,21008.983335845853,3476.5738906572524,7559.900212788052,0.4598703412482094
ETH,AZE,13221.313378401685,2767.221971140749,6028.024328935625,0.45905952267935857
RWA,CAN,24433.569821160887,8908.228799471686,19461.25817249273,0.457741669141562
UGA,HKG,369168.51892243366,6565.679185949793,14369.970656561785,0.45690275525731117
TCD,MLI,19570.92023007301,1884.9050723663458,4128.011724099663,0.4566133040180383
RWA,CIV,12509.882245355708,3458.010480281393,7576.745709052553,0.45639785378435327
ETH,USA,4274315.296092114,7804.998271154375,17108.458748636196,0.45620697842092595
SSD,ETH,32033.180480623516,1192.0934686578057,2614.197906566666,0.45600735340784937
UGA,BRA,183901.84782122725,6001.616114992471,13167.158908517284,0.45580190507993923
MWI,SWE,17359.436639182553,6830.1299347438535,15028.45552879644,0.4544798313876268
TCD,ISR,11660.469849087704,3051.6746341440826,6718.414540351417,0.4542254152100088
TCD,SDN,53169.97516130692,2618.4253548386564,5778.898134005925,0.45310114387213934
NER,MLI,10422.79494908029,1001.2282458384277,2210.368385404955,0.4529689496327987
ETH,NZL,41942.6876948552,8335.791428709985,18422.502773154596,0.4524787718233898
UGA,CMR,50872.36540251181,2593.75317130257,5739.6221892349895,0.4519031193668656
SSD,USA,584435.3993955507,8370.143266040053,18531.598605735846,0.4516687115945492
MWI,HKG,110057.76250004907,7556.371921071038,16743.850722409912,0.45129236078040375
TCD,KEN,43253.888322203544,2827.8733248758926,6271.104325808442,0.4509370563710621
ZMB,IND,1221737.115244105,5564.675427537489,12358.772124507184,0.4502611886906511
CAF,JPN,20679.258505436217,9178.5538573395,20389.374873713783,0.45016357363523674
SWZ,UGA,13097.346162087333,2074.1453033376283,4616.4396316094,0.44929544602634225
ZWE,CAN,10108.25297112053,8866.548114542758,19785.2844694847,0.44813852073837196
TCD,POL,54178.783075554056,4188.502586486138,9357.644561743795,0.44760223140016464
UGA,NAM,11613.733353281164,2701.4910079814263,6052.190813231337,0.4463658022935116
RWA,IND,667755.3855240304,5067.535571257397,11363.710567672757,0.44594021830100244
RWA,NER,11106.139367935299,3101.6133170429403,6959.906073452896,0.4456401112758396
TCD,DZA,12495.265374649043,2633.8511140165174,5910.553125127365,0.4456183809294094
BFA,ISR,11783.118950966016,3567.8178591725077,8007.604552933344,0.4455537028068582
MWI,NLD,33298.9265063625,6230.548496960014,13987.274504785099,0.44544407095381733
MWI,PAK,28739.37134685155,5191.842567389801,11658.698264011351,0.44531923288693714
RWA,ETH,32931.10242582368,1915.9655511421545,4309.705686775482,0.44456992899106257
BFA,CAN,43957.064081172684,6117.086722847719,13816.808807726633,0.44272789816899855
ETH,ROU,10820.018520940474,2841.273032528661,6429.30314803014,0.4419255037615068
BWA,TZA,54276.41171723347,1531.8432585410674,3471.0637084507157,0.44131810511331543
BWA,RWA,15237.713363669227,2321.300848277555,5267.780221583053,0.44066015487259
RWA,SWE,16153.974572265213,5710.000114030858,12972.306657297611,0.44016844998176785
RWA,FRA,71624.49615747039,5075.402751240123,11542.636389852389,0.439709142679234
BWA,LKA,10544.737093784926,5284.62896991836,12050.596991650562,0.43853669437123277
BFA,PAK,48915.032190063095,5652.187236523383,12921.810795720212,0.43741448670610655
MLI,CMR,15724.332659317744,1784.123424862057,4082.1870692563475,0.4370508736110104
ETH,MAR,34500.4639286457,3379.0230166585325,7734.420319593465,0.4368812240651721
ETH,ARG,69769.60056369058,7050.90331721493,16149.149637200273,0.4366114300515778
MWI,NGA,102178.16983729627,3642.5183079140193,8366.429311830028,0.4353731050788349
ETH,BRA,378841.0045922454,6192.224027576181,14233.011561113995,0.43506070384246387
UGA,NER,40821.197632762276,3087.7014093481107,7105.895305511244,0.4345267241628691
UGA,MEX,61791.150303378585,8850.370651894935,20403.723592135906,0.4337625243710949
UGA,AUS,124201.22593017701,6289.543754118182,14501.566405755242,0.4337147848815869
MWI,CAN,25775.352592157706,8643.702934527368,19935.041200576703,0.43359343216593466
ETH,SOM,30161.74039156367,1152.009332639758,2657.070690518461,0.43356367474550406
ETH,MOZ,79149.91231390138,2589.1823607366764,5973.845206734127,0.4334197273504799
SSD,SDN,28918.734430144526,1365.9990829535675,3153.923691009294,0.43311101243430244
SWZ,CAN,12649.195544501063,8482.527265028393,19614.666943900786,0.4324583888826137
MWI,AUT,16087.003453721163,5370.309163124299,12421.497213175571,0.43233992416211897
BDI,CHN,202370.43531226364,6870.23087502531,15891.633031007814,0.4323174881788479
ZMB,EGY,25224.38919015704,3516.141499611933,8155.56370254021,0.4311340856201959
RWA,MYS,16765.330387776372,6748.5055596412185,15656.06789771961,0.4310472849076092
ZMB,NER,25238.755108385878,3490.1217094799526,8108.386253564796,0.4304335783147411
BFA,IND,1196238.554869193,6072.249359628328,14143.728821609211,0.42932450389963395
NER,GHA,14401.799475766293,601.27011260749,1402.974878078053,0.4285679822230138
MLI,KEN,31409.865484591155,3741.985769941771,8732.882606962425,0.42849376756289104
BFA,IRL,14994.211561410166,3708.836773053133,8672.519658229548,0.42765389058919395
MWI,IND,731440.1885304839,5467.7841190881945,12791.964086473505,0.42743898295258237
BWA,DZA,15137.282032095176,5243.5881471562425,12281.121517847727,0.4269632980616565
SWZ,USA,251957.7592706918,8190.59658064037,19294.008356750783,0.4245150322936686
SWZ,PAK,14025.416427113892,5232.494442280738,12331.006282724073,0.42433636982340545
MLI,RUS,17590.69204774932,5116.805203766615,12062.503211999732,0.4241909920219906
BWA,IND,1192459.583060103,5663.719771649288,13376.115655165353,0.4234203648995942
SSD,RUS,11243.566993947315,4297.176816696464,10159.128795566061,0.4229867445495879
